episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
179, -98.85295064357342, 4, 11.526685499999076, 582, 183658,                                             183658, 0.0, 10884.4677734375
180, 383.093251273036, 4, 9.740343837000182, 490, 184148,                                             184148, 0.0, 9650.98046875
181, 76.74660376505926, 4, 10.540741642000285, 548, 184696,                                             184696, 0.0, 10785.6376953125
182, 3541.9880677461624, 1, 0.9021317770002497, 30, 184726,                                             184726, 0.0, 11886.1767578125
183, -43.64558571460657, 4, 10.137772742999005, 515, 185241,                                             185241, 0.0, 13200.845703125
184, 595.7910591363907, 4, 10.72587327600013, 560, 185801,                                             185801, 0.0, 9476.9345703125
185, -307.87039490044117, 4, 9.734723651999957, 511, 186312,                                             186312, 0.0, 8508.4384765625
186, 704.0629723072052, 4, 10.72679954799969, 550, 186862,                                             186862, 0.0, 10401.0419921875
187, 3544.7029396295547, 1, 0.7106143860000884, 30, 186892,                                             186892, 0.0, 6955.8916015625
188, -99.79542086605943, 4, 10.324856361999991, 532, 187424,                                             187424, 0.0, 9309.48046875
189, 75.63176910672337, 4, 10.335148638001556, 548, 187972,                                             187972, 0.0, 9207.6689453125
190, 556.6339649008587, 4, 10.727019208999991, 555, 188527,                                             188527, 0.0, 10871.099609375
191, -187.0001601369804, 4, 9.924911640999198, 513, 189040,                                             189040, 0.0, 9315.3193359375
192, 3538.62932407856, 1, 0.7102553010008705, 30, 189070,                                             189070, 0.0, 8843.1357421875
193, -248.65720055415295, 4, 10.323777163999694, 542, 189612,                                             189612, 0.0, 10636.5537109375
194, 441.9103968387353, 4, 9.73479202300041, 514, 190126,                                             190126, 0.0, 10593.9375
195, 3921.533330500126, 1, 8.319319936001193, 440, 190566,                                             190566, 0.0, 10789.4853515625
196, -89.92190215317532, 4, 9.736464391000482, 525, 191091,                                             191091, 0.0, 8880.2919921875
197, -312.8652773913982, 4, 10.538816857000711, 572, 191663,                                             191663, 0.0, 9956.439453125
198, 188.51045627100393, 4, 10.53401913700145, 556, 192219,                                             192219, 0.0, 10654.123046875
199, 132.39918533782475, 4, 10.532010674000048, 573, 192792,                                             192792, 0.0, 9301.6787109375
200, 3547.0031588077545, 1, 0.9017419839983631, 31, 192823,                                             192823, 0.0, 7954.9072265625
201, -221.60020709317178, 4, 10.037194303000433, 534, 193357,                                             193357, 0.0, 11561.4375
202, 3912.095860004425, 1, 4.5121553119988675, 219, 193576,                                             193576, 0.0, 8798.28125
203, -3329.6266161666717, 3, 9.54204055199989, 481, 194057,                                             194057, 0.0, 9067.4560546875
204, 311.39119650423527, 4, 10.54612491700027, 514, 194571,                                             194571, 0.0, 9912.830078125
205, -186.05776872043498, 4, 10.722676981000404, 531, 195102,                                             195102, 0.0, 9382.1015625
206, 457.41867968195584, 4, 10.337663958000121, 528, 195630,                                             195630, 0.0, 11467.400390625
207, 417.13113936781883, 4, 10.534606826000527, 554, 196184,                                             196184, 0.0, 9794.50390625
208, 3558.7539521455765, 1, 1.1015427929996804, 43, 196227,                                             196227, 0.0, 10017.740234375
209, 3997.9831404685974, 1, 7.1196980660006375, 357, 196584,                                             196584, 0.0, 10284.4638671875
210, 529.1002947958186, 4, 10.527847360001033, 529, 197113,                                             197113, 0.0, 10904.279296875
211, -221.3828996468219, 4, 10.331879396999284, 535, 197648,                                             197648, 0.0, 8812.521484375
212, -59.21282655000687, 4, 10.723637832001259, 539, 198187,                                             198187, 0.0, 12056.3876953125
213, 627.1889270842075, 4, 10.341409026999827, 541, 198728,                                             198728, 0.0, 10803.904296875
214, 687.7185497879982, 4, 10.542007026000647, 542, 199270,                                             199270, 0.0, 9852.3271484375
215, 15.985621278639883, 4, 10.731017071000679, 553, 199823,                                             199823, 0.0, 9703.109375
216, 288.16040722164325, 4, 9.739508916998602, 487, 200310,                                             200310, 0.0, 9500.783203125
217, 615.6911700516939, 4, 10.529474529999789, 541, 200851,                                             200851, 0.0, 9664.806640625
218, 599.2407194375992, 4, 10.540428685999359, 540, 201391,                                             201391, 0.0, 10970.576171875
219, 369.09130343142897, 4, 10.725160105999748, 537, 201928,                                             201928, 0.0, 11077.1259765625
220, 3686.5722167491913, 1, 2.5203411980000965, 120, 202048,                                             202048, 0.0, 9878.625
221, -235.4269401016645, 4, 10.523050309999235, 519, 202567,                                             202567, 0.0, 11003.5234375
222, 530.0261350274086, 4, 10.334119365001243, 535, 203102,                                             203102, 0.0, 11119.81640625
223, 113.04243413941003, 4, 10.72640465600125, 544, 203646,                                             203646, 0.0, 11714.546875
224, 3772.657217144966, 1, 4.33014650900077, 222, 203868,                                             203868, 0.0, 10636.4306640625
225, 0.5178735353983939, 4, 10.122224769998866, 505, 204373,                                             204373, 0.0, 11295.74609375
226, -454.0094434536877, 4, 9.74037644300006, 482, 204855,                                             204855, 0.0, 10990.927734375
227, 275.5176958432421, 4, 10.539034331000948, 529, 205384,                                             205384, 0.0, 10878.81640625
228, 818.61270403862, 4, 10.7272627429993, 526, 205910,                                             205910, 0.0, 12686.26953125
229, 407.2113426281139, 4, 10.341860030001044, 526, 206436,                                             206436, 0.0, 11708.201171875
230, 646.1369248628616, 4, 10.725075112000923, 532, 206968,                                             206968, 0.0, 12291.3251953125
231, 4363.918165206909, 1, 9.13767325200024, 468, 207436,                                             207436, 0.0, 10551.833984375
232, -4658.195581487846, 2, 9.324160377000226, 462, 207898,                                             207898, 0.0, 12735.71875
233, -120.05687708593905, 4, 9.92566377300136, 490, 208388,                                             208388, 0.0, 8573.2177734375
234, 339.44871206302196, 4, 10.336705935000282, 515, 208903,                                             208903, 0.0, 10476.6240234375
235, 227.67758993816096, 4, 10.542177415998594, 536, 209439,                                             209439, 0.0, 10967.2470703125
236, -21.501374264280457, 4, 10.72576876399944, 538, 209977,                                             209977, 0.0, 9752.9287109375
237, -169.68017085641623, 4, 9.540459456000463, 484, 210461,                                             210461, 0.0, 9858.345703125
238, 4118.355170845985, 1, 7.5338327449990175, 384, 210845,                                             210845, 0.0, 8665.1064453125
239, 3540.669488310814, 1, 0.9009814860000915, 30, 210875,                                             210875, 0.0, 14955.6025390625
240, -1997.0803294731304, 4, 10.331341828999939, 530, 211405,                                             211405, 0.0, 8372.076171875
241, -55.559628815972246, 4, 10.535489869998855, 536, 211941,                                             211941, 0.0, 10701.873046875
242, 318.1137698707753, 4, 10.545538641001258, 544, 212485,                                             212485, 0.0, 8871.2978515625
243, 31.025308742246125, 4, 10.54308526100067, 538, 213023,                                             213023, 0.0, 8945.5498046875
244, -302.8100127223879, 4, 10.544228591001229, 540, 213563,                                             213563, 0.0, 10497.2705078125
245, 835.311824798584, 4, 10.725039688999459, 530, 214093,                                             214093, 0.0, 9206.83984375
246, 3509.2636152654886, 1, 0.7120347309992212, 30, 214123,                                             214123, 0.0, 13137.5166015625
247, -67.2316940430319, 4, 10.324695126000734, 518, 214641,                                             214641, 0.0, 9506.3544921875
248, 3520.7621334791183, 1, 0.7125408320007409, 30, 214671,                                             214671, 0.0, 10123.4501953125
249, -202.82813448971137, 4, 10.321986949000348, 522, 215193,                                             215193, 0.0, 10593.7978515625
250, 128.39762368879747, 4, 9.737095258999034, 510, 215703,                                             215703, 0.0, 10223.3134765625
251, 90.21332760283258, 4, 10.53775400700033, 558, 216261,                                             216261, 0.0, 8206.3388671875
252, 361.9044525921345, 4, 10.725607053000203, 572, 216833,                                             216833, 0.0, 10442.1640625
253, -117.18206428806297, 4, 9.737725389000843, 518, 217351,                                             217351, 0.0, 11133.572265625
254, -352.47832373936944, 4, 10.727416560001075, 551, 217902,                                             217902, 0.0, 9839.806640625
255, 619.2772985398769, 4, 10.335629137000069, 539, 218441,                                             218441, 0.0, 9178.2353515625
256, 980.0782392024994, 4, 10.724677361999056, 561, 219002,                                             219002, 0.0, 8949.6533203125
257, 726.239971101284, 4, 10.339303003000168, 528, 219530,                                             219530, 0.0, 9165.482421875
258, 692.9095371365547, 4, 10.5410396089992, 529, 220059,                                             220059, 0.0, 9251.8134765625
259, -234.71860339818522, 4, 10.542085645000043, 544, 220603,                                             220603, 0.0, 7745.6220703125
260, 3954.5267171263695, 1, 5.1281858010006545, 265, 220868,                                             220868, 0.0, 10883.22265625
261, -303.0914804862696, 4, 10.12724736599921, 521, 221389,                                             221389, 0.0, 8362.970703125
262, 369.51104210480116, 4, 10.337916034000955, 530, 221919,                                             221919, 0.0, 10659.927734375
263, 4354.658474683762, 1, 10.327953242000149, 520, 222439,                                             222439, 0.0, 9425.021484375
264, 3555.4704250097275, 1, 0.9170466300001863, 43, 222482,                                             222482, 0.0, 9062.654296875
265, -4304.312538921833, 2, 9.726723368999956, 498, 222980,                                             222980, 0.0, 9530.423828125
266, 69.63194108358584, 4, 9.737425269000596, 522, 223502,                                             223502, 0.0, 10060.69140625
267, 542.6938513219357, 4, 10.536903203999827, 553, 224055,                                             224055, 0.0, 10053.017578125
268, 3843.913675069809, 1, 4.9116868910005, 246, 224301,                                             224301, 0.0, 10835.4345703125
269, -2084.719793980941, 4, 10.13635297700057, 530, 224831,                                             224831, 0.0, 9945.1455078125
270, 3816.348002910614, 1, 3.5083233490004204, 173, 225004,                                             225004, 0.0, 8888.1025390625
271, -255.67950437311083, 4, 9.7301366949996, 498, 225502,                                             225502, 0.0, 10712.666015625
272, 4276.376236200333, 1, 7.526048862000607, 398, 225900,                                             225900, 0.0, 9564.9365234375
273, 4010.2919140160084, 1, 7.515378829999463, 388, 226288,                                             226288, 0.0, 10505.232421875
274, -3806.8537150995107, 2, 4.312225355000919, 204, 226492,                                             226492, 0.0, 10682.7470703125
275, -5.719155362341553, 4, 9.738651596999262, 517, 227009,                                             227009, 0.0, 10910.681640625
276, 4419.903380036354, 1, 9.520480736999161, 487, 227496,                                             227496, 0.0, 10614.56640625
